latitude;longitude;tour;step;date;city;room
37.566535;126.977969;THE BORN THIS WAY BALL;Étape 1 - Asie;27.04.2012;Séoul;Stade olympique de Séoul
22.396428;114.109497;THE BORN THIS WAY BALL;Étape 1 - Asie;02.05.2012;Hong Kong;AsiaWorld-Arena
22.396428;114.109497;THE BORN THIS WAY BALL;Étape 1 - Asie;03.05.2012;Hong Kong;AsiaWorld-Arena
22.396428;114.109497;THE BORN THIS WAY BALL;Étape 1 - Asie;05.05.2012;Hong Kong;AsiaWorld-Arena
22.396428;114.109497;THE BORN THIS WAY BALL;Étape 1 - Asie;07.05.2012;Hong Kong;AsiaWorld-Arena
35.6804;139.769017;THE BORN THIS WAY BALL;Étape 1 - Asie;10.05.2012;Tokyo;Saitama Super Arena
35.6804;139.769017;THE BORN THIS WAY BALL;Étape 1 - Asie;12.05.2012;Tokyo;Saitama Super Arena
35.6804;139.769017;THE BORN THIS WAY BALL;Étape 1 - Asie;13.05.2012;Tokyo;Saitama Super Arena
25.032969;121.565418;THE BORN THIS WAY BALL;Étape 1 - Asie;17.05.2012;Taipei;Nangan World Trade Center
25.032969;121.565418;THE BORN THIS WAY BALL;Étape 1 - Asie;18.05.2012;Taipei;Nangan World Trade Center
14.599512;120.984219;THE BORN THIS WAY BALL;Étape 1 - Asie;21.05.2012;Manille;Mall of Asia Arena
14.599512;120.984219;THE BORN THIS WAY BALL;Étape 1 - Asie;22.05.2012;Manille;Mall of Asia Arena
13.756331;100.501765;THE BORN THIS WAY BALL;Étape 1 - Asie;25.05.2012;Bangkok;Stade Rajamangala
1.352083;103.819836;THE BORN THIS WAY BALL;Étape 1 - Asie;28.05.2012;Singapour;Singapore Indoor Stadium
1.352083;103.819836;THE BORN THIS WAY BALL;Étape 1 - Asie;29.05.2012;Singapour;Singapore Indoor Stadium
1.352083;103.819836;THE BORN THIS WAY BALL;Étape 1 - Asie;31.05.2012;Singapour;Singapore Indoor Stadium
-36.84846;174.763331;THE BORN THIS WAY BALL;Étape 2 - Océanie;07.06.2012;Auckland;Vector Arena
-36.84846;174.763331;THE BORN THIS WAY BALL;Étape 2 - Océanie;08.06.2012;Auckland;Vector Arena
-36.84846;174.763331;THE BORN THIS WAY BALL;Étape 2 - Océanie;10.06.2012;Auckland;Vector Arena
-27.471011;153.023449;THE BORN THIS WAY BALL;Étape 2 - Océanie;13.06.2012;Brisbane;Brisbane Entertainment Center
-27.471011;153.023449;THE BORN THIS WAY BALL;Étape 2 - Océanie;14.06.2012;Brisbane;Brisbane Entertainment Center
-27.471011;153.023449;THE BORN THIS WAY BALL;Étape 2 - Océanie;16.06.2012;Brisbane;Brisbane Entertainment Center
-33.867487;151.20699;THE BORN THIS WAY BALL;Étape 2 - Océanie;20.06.2012;Sydney;Acer Arena
-33.867487;151.20699;THE BORN THIS WAY BALL;Étape 2 - Océanie;21.06.2012;Sydney;Acer Arena
