latitude;longitude;tour;step;date;country;room
26.122439;-80.137317;THE ARTPOP BALL;Étape 1 - Amérique du Nord;04.05.2014;Fort Lauderdale;BB&T Center
33.748995;-84.387982;THE ARTPOP BALL;Étape 1 - Amérique du Nord;06.05.2014;Atlanta;Philips Arena
40.440625;-79.995886;THE ARTPOP BALL;Étape 1 - Amérique du Nord;08.05.2014;Pittsburgh;Consol Energy Center
41.431691;-72.110095;THE ARTPOP BALL;Étape 1 - Amérique du Nord;10.05.2014;Uncasville;Mohegan Sun Arena
38.907192;-77.036871;THE ARTPOP BALL;Étape 1 - Amérique du Nord;12.05.2014;Washington;Verizon Center
40.712784;-74.005941;THE ARTPOP BALL;Étape 1 - Amérique du Nord;13.05.2014;New York;Madison Square Garden
39.952584;-75.165222;THE ARTPOP BALL;Étape 1 - Amérique du Nord;15.05.2014;Philadelphie;Wells Fargo Center
42.331427;-83.045754;THE ARTPOP BALL;Étape 1 - Amérique du Nord;17.05.2014;Détroit;Joe Louis Arena
41.49932;-81.694361;THE ARTPOP BALL;Étape 1 - Amérique du Nord;18.05.2014;Cleveland;Quicken Loans Arena
44.953703;-93.089958;THE ARTPOP BALL;Étape 1 - Amérique du Nord;20.05.2014;Saint Paul;Xcel Energy Center
49.899754;-97.137494;THE ARTPOP BALL;Étape 1 - Amérique du Nord;22.05.2014;Winnipeg;MTS Centre
51.048615;-114.070846;THE ARTPOP BALL;Étape 1 - Amérique du Nord;25.05.2014;Calgary;Scotiabank Saddledome
53.544389;-113.490927;THE ARTPOP BALL;Étape 1 - Amérique du Nord;26.05.2014;Edmonton;Rexall Place
32.71451081;-117.1925354;THE ARTPOP BALL;Étape 1 - Amérique du Nord;02.06.2014;San Diego;Viejas Arena
37.338208;-121.886329;THE ARTPOP BALL;Étape 1 - Amérique du Nord;03.06.2014;San José;SAP Center at San Jose
43.038902;-87.906474;THE ARTPOP BALL;Étape 1 - Amérique du Nord;26.06.2014;Milwaukee;Marcus Amphitheater(festival)
39.364283;-74.422927;THE ARTPOP BALL;Étape 1 - Amérique du Nord;28.06.2014;Atlantic City;Boardwalk Hall
42.360082;-71.05888;THE ARTPOP BALL;Étape 1 - Amérique du Nord;30.06.2014;Boston;TD Garden
45.501689;-73.567256;THE ARTPOP BALL;Étape 1 - Amérique du Nord;02.07.2014;Montréal;Centre Bell
52.939916;-73.549136;THE ARTPOP BALL;Étape 1 - Amérique du Nord;04.07.2014;Québec;Plaines d'Abraham
45.42153;-75.697193;THE ARTPOP BALL;Étape 1 - Amérique du Nord;05.07.2014;Ottawa;LeBreton Flats(festival)
42.886447;-78.878369;THE ARTPOP BALL;Étape 1 - Amérique du Nord;07.07.2014;Buffalo;First Niagara Center
43.653226;-79.383184;THE ARTPOP BALL;Étape 1 - Amérique du Nord;09.07.2014;Toronto;Centre Air Canada
41.878114;-87.629798;THE ARTPOP BALL;Étape 1 - Amérique du Nord;11.07.2014;Chicago;United Center
29.424122;-98.493628;THE ARTPOP BALL;Étape 1 - Amérique du Nord;14.07.2014;San Antonio;AT&T Center
29.760427;-95.369803;THE ARTPOP BALL;Étape 1 - Amérique du Nord;16.07.2014;Houston;Toyota Center
32.776664;-96.796988;THE ARTPOP BALL;Étape 1 - Amérique du Nord;17.07.2014;Dallas;American Airlines Center
36.169941;-115.13983;THE ARTPOP BALL;Étape 1 - Amérique du Nord;19.07.2014;Las Vegas;MGM Grand Garden Arena
34.04583233;-118.2499695;THE ARTPOP BALL;Étape 1 - Amérique du Nord;21.07.2014;Los Angeles;Staples Center
34.04583233;-118.2499695;THE ARTPOP BALL;Étape 1 - Amérique du Nord;22.07.2014;Los Angeles;Staples Center
33.748995;-84.387982;THE ARTPOP BALL;Étape 1 - Amérique du Nord;25.07.2014;Atlanta;Parc du Centenaire
33.448377;-112.074037;THE ARTPOP BALL;Étape 1 - Amérique du Nord;30.07.2014;Phoenix;US Airways Center
36.169941;-115.13983;THE ARTPOP BALL;Étape 1 - Amérique du Nord;01.08.2014;Las Vegas;MGM Grand Garden Arena
-119.939903;-119.939903;THE ARTPOP BALL;Étape 1 - Amérique du Nord;02.08.2014;Stateline;Harveys Lake Tahoe
40.760779;-111.891047;THE ARTPOP BALL;Étape 1 - Amérique du Nord;04.08.2014;Salt Lake City;EnergySolutions Arena
39.739236;104.990251;THE ARTPOP BALL;Étape 1 - Amérique du Nord;06.08.2014;Denver;Pepsi Center
47.6062095;-122.3320708;THE ARTPOP BALL;Étape 1 - Amérique du Nord;08.08.2014;Seattle;KeyArena
45.638728;-122.661486;THE ARTPOP BALL;Étape 1 - Amérique du Nord;09.08.2014;Vancouver;Rogers Arena
35.6804;139.769017;THE ARTPOP BALL;Étape 2 - Asie;13.08.2014;Tokyo;Chiba Marine Stadium
35.6804;139.769017;THE ARTPOP BALL;Étape 2 - Asie;14.08.2014;Tokyo;Chiba Marine Stadium
37.566535;126.977969;THE ARTPOP BALL;Étape 2 - Asie;16.08.2014;Séoul;Stade olympique de Séoul
-31.953513;115.857047;THE ARTPOP BALL;Étape 3 - Océanie;20.08.2014;Perth;Perth Arena
28.083627;-80.608109;THE ARTPOP BALL;Étape 3 - Océanie;23.08.2014;Melbourne;Rod Laver Arena
28.083627;-80.608109;THE ARTPOP BALL;Étape 3 - Océanie;24.08.2014;Melbourne;Rod Laver Arena
-27.471011;153.023449;THE ARTPOP BALL;Étape 3 - Océanie;26.08.2014;Brisbane;Brisbane Entertainment Center
-33.867487;151.20699;THE ARTPOP BALL;Étape 3 - Océanie;30.08.2014;Sydney;Allphones Arena
-33.867487;151.20699;THE ARTPOP BALL;Étape 3 - Océanie;31.08.2014;Sydney;Allphones Arena
25.204849;55.270783;THE ARTPOP BALL;Étape 4 - Moyen-Orient;10.09.2014;Dubaï;Meydan Racecourse
32.0853;34.781768;THE ARTPOP BALL;Étape 4 - Moyen-Orient;13.09.2014;Tel Aviv;Hayarkon Park
41.00527;28.97696;THE ARTPOP BALL;Étape 5 - Europe;16.09.2014;Istanbul;ITÜ Stadium
37.814011;23.47125;THE ARTPOP BALL;Étape 5 - Europe;19.09.2014;Athènes;Stade olympique
51.219448;4.402464;THE ARTPOP BALL;Étape 5 - Europe;23.09.2014;Anvers;Sportpaleis
52.370216;4.895168;THE ARTPOP BALL;Étape 5 - Europe;24.09.2014;Amsterdam;Ziggo Dome
56.138557;8.967322;THE ARTPOP BALL;Étape 5 - Europe;27.09.2014;Herning;Jyske Bank Boxen
59.913869;10.752245;THE ARTPOP BALL;Étape 5 - Europe;29.09.2014;Oslo;Telenor Arena
59.329324;18.068581;THE ARTPOP BALL;Étape 5 - Europe;30.09.2014;Stockholm;Ericsson Globe
53.551085;9.993682;THE ARTPOP BALL;Étape 5 - Europe;03.10.2014;Hambourg;O2 World Hamburg
50.075538;14.4378;THE ARTPOP BALL;Étape 5 - Europe;05.10.2014;Prague;O2 Arena
50.937531;6.960279;THE ARTPOP BALL;Étape 5 - Europe;07.10.2014;Cologne;Lanxess Arena
52.520007;13.404954;THE ARTPOP BALL;Étape 5 - Europe;09.10.2014;Berlin;O2 World
33.520661;-86.80249;THE ARTPOP BALL;Étape 5 - Europe;15.10.2014;Birmingham;National Indoor Arena
53.349805;-6.26031;THE ARTPOP BALL;Étape 5 - Europe;17.10.2014;Dublin;3Arena
55.864237;-4.251806;THE ARTPOP BALL;Étape 5 - Europe;19.10.2014;Glasgow;The SSE Hydro
53.480759;-2.242631;THE ARTPOP BALL;Étape 5 - Europe;21.10.2014;Manchester;Manchester Evening News Arena
51.507351;-0.127758;THE ARTPOP BALL;Étape 5 - Europe;23.10.2014;Londres;O2 Arena
51.507351;-0.127758;THE ARTPOP BALL;Étape 5 - Europe;25.10.2014;Londres;O2 Arena
51.507351;-0.127758;THE ARTPOP BALL;Étape 5 - Europe;26.10.2014;Londres;O2 Arena
48.856614;2.352222;THE ARTPOP BALL;Étape 5 - Europe;30.10.2014;Paris;Zénith de Paris
48.856614;2.352222;THE ARTPOP BALL;Étape 5 - Europe;31.10.2014;Paris;Zénith de Paris
48.208174;16.373819;THE ARTPOP BALL;Étape 5 - Europe;02.11.2014;Vienne;Wiener Stadthalle
45.465422;9.185924;THE ARTPOP BALL;Étape 5 - Europe;04.11.2014;Milan;Mediolanum Forum
47.36865;8.539183;THE ARTPOP BALL;Étape 5 - Europe;06.11.2014;Zurich;Hallenstadion
41.385064;2.173403;THE ARTPOP BALL;Étape 5 - Europe;08.11.2014;Barcelone;Palau Sant Jordi
38.722252;-9.139337;THE ARTPOP BALL;Étape 5 - Europe;10.11.2014;Lisbonne;MEO Arena
33.520661;-86.80249;THE ARTPOP BALL;Étape 5 - Europe;13.11.2014;Birmingham;National Indoor Arena
55.864237;-4.251806;THE ARTPOP BALL;Étape 5 - Europe;16.11.2014;Glasgow;The SSE Hydro
53.381129;-1.470085;THE ARTPOP BALL;Étape 5 - Europe;20.11.2014;Sheffield;Motorpoint Arena
54.978252;-1.61778;THE ARTPOP BALL;Étape 5 - Europe;22.11.2014;Newcastle;Metro Radio Arena
48.856614;2.352222;THE ARTPOP BALL;Étape 5 - Europe;24.11.2014;Paris;Bercy Arena
